AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME
19805,14869,11109,2017,2,6,1,F,39900,160,133,0,0,411,87,71
19790,11292,12892,2017,2,6,2,F,29900,110,101,0,0,862,166,136
19790,11292,13487,2017,2,6,2,F,29900,110,110,0,0,680,126,86
19790,11292,13487,2017,2,6,2,F,77758,320,281,0,0,680,219,176
19790,11292,14869,2017,2,6,1,F,40870,160,155,0,0,391,78,60
19790,11433,11292,2017,2,6,3,F,41370,160,154,6,0,1123,176,154
19790,13487,11292,2017,2,6,2,F,29900,110,106,53,0,680,131,103
19790,13487,11292,2017,2,6,2,F,38879,160,160,21,0,680,112,95
20500,11292,15370,2017,2,6,2,F,17610,70,70,0,0,541,110,74
20500,11986,11292,2017,2,6,3,F,17610,70,55,0,0,1015,153,132
20304,11097,11292,2017,2,6,1,F,13500,50,35,0,0,391,91,61
20304,11109,12992,2017,2,6,2,F,13500,50,0,0,0,746,143,97
20304,11109,13486,2017,2,6,2,F,13500,50,0,0,0,734,137,100
20304,11109,15376,2017,2,6,2,F,13500,50,46,0,0,580,104,85
20304,11122,11292,2017,2,6,1,F,13500,50,48,0,0,230,56,41
20304,11278,11109,2017,2,6,3,F,15200,76,0,0,0,1487,218,191
20304,11292,10140,2017,2,6,1,F,18740,70,70,0,0,349,78,52
20304,11292,10397,2017,2,6,3,F,18740,70,62,0,0,1199,210,183
20304,11292,10423,2017,2,6,2,F,15200,76,69,0,0,775,151,129
20304,11292,11003,2017,2,6,2,F,15200,76,58,0,0,692,109,89
20304,11292,11097,2017,2,6,1,F,13500,50,45,0,0,391,89,64
20304,11292,11122,2017,2,6,1,F,13500,50,43,0,0,230,64,37
20304,11292,11298,2017,2,6,2,F,18740,70,67,0,0,641,122,91
20304,11292,11986,2017,2,6,3,F,15200,76,69,0,0,1015,169,137
20304,11292,12266,2017,2,6,2,F,15200,76,0,0,0,862,133,118
20304,11292,12441,2017,2,6,1,F,18740,70,69,0,0,406,134,64
20304,11292,12992,2017,2,6,2,F,18740,70,48,0,0,771,125,98
20304,11292,13264,2017,2,6,2,F,18740,70,63,0,0,964,148,127
20304,11292,13871,2017,2,6,1,F,18740,70,63,0,0,472,81,61
20304,11292,13930,2017,2,6,2,F,15200,76,65,0,0,888,139,114
20304,11292,14489,2017,2,6,2,F,13500,50,40,0,0,898,158,133
20304,11292,14679,2017,2,6,2,F,15200,76,76,0,0,853,135,112
20304,11292,14730,2017,2,6,3,F,13500,50,50,0,0,1024,162,130
20304,11292,14771,2017,2,6,2,F,13500,50,0,0,0,967,180,147
20304,11292,14771,2017,2,6,2,F,18740,70,0,0,0,967,233,134
20304,11292,14908,2017,2,6,2,F,18740,70,68,0,0,846,145,110
20304,11292,15041,2017,2,6,2,F,15200,76,73,0,0,557,106,86
20304,11298,11109,2017,2,6,2,F,15200,76,0,0,0,592,131,86
20304,11921,12892,2017,2,6,2,F,18740,70,0,0,0,655,109,84
20304,12266,11292,2017,2,6,2,F,13500,50,0,0,0,862,160,122
20304,12441,11292,2017,2,6,1,F,18740,70,34,0,0,406,89,57
20304,12888,11292,2017,2,6,1,F,15200,76,53,0,0,113,74,51
20304,12892,11292,2017,2,6,2,F,18740,70,0,0,0,862,139,113
20304,12992,11292,2017,2,6,2,F,15200,76,62,0,0,771,129,110
20304,13264,11292,2017,2,6,2,F,18740,70,16,0,0,964,141,122
20304,13486,11109,2017,2,6,2,F,13500,50,0,0,0,734,123,93
20304,13930,11292,2017,2,6,2,F,15200,76,0,0,0,888,200,134
20304,14057,11292,2017,2,6,2,F,15200,76,76,0,0,991,148,131
20304,14252,11921,2017,2,6,2,F,13500,50,41,0,0,730,129,111
20304,14679,11292,2017,2,6,2,F,18740,70,69,0,0,853,153,122
20304,14683,11292,2017,2,6,2,F,15200,76,65,0,0,794,136,107
20304,14794,11109,2017,2,6,1,F,13500,50,45,0,0,496,178,105
20304,14893,11292,2017,2,6,2,F,18740,70,68,0,0,909,141,118
20304,14908,11292,2017,2,6,2,F,18740,70,67,0,0,846,129,114
19977,10140,11292,2017,2,6,1,F,32640,150,140,1,0,349,66,48
19977,10529,11292,2017,2,6,4,F,41971,166,151,0,1040,1671,240,218
19977,10721,11292,2017,2,6,4,F,31999,128,127,0,1858,1754,258,235
19977,10849,11292,2017,2,6,2,F,36804,150,84,0,0,524,107,67
19977,11292,10140,2017,2,6,1,F,36640,150,144,0,0,349,66,52
19977,11292,10620,2017,2,6,1,F,48470,179,154,55,23,455,94,66
19977,11292,10721,2017,2,6,4,F,35090,150,150,865,0,1754,215,194
19977,11292,10849,2017,2,6,2,F,36804,150,144,181,0,524,89,74
19977,11292,11193,2017,2,6,3,F,36867,150,89,0,0,1069,172,144
19977,11292,11433,2017,2,6,3,F,36158,128,86,0,1615,1123,152,128
19977,11292,11697,2017,2,6,4,F,32862,128,126,0,0,1703,215,203
19977,11292,12264,2017,2,6,3,F,100549,242,200,0,0,1452,199,179
19977,11292,12266,2017,2,6,2,F,82777,214,126,0,75,862,140,113
19977,11292,12889,2017,2,6,2,F,35433,128,106,10,539,628,108,89
19977,11292,13198,2017,2,6,2,F,42241,166,137,703,1350,533,88,70
19977,11292,13204,2017,2,6,4,F,35372,128,102,0,40,1546,208,184
19977,11292,13930,2017,2,6,2,F,35936,128,121,0,0,888,123,111
19977,11292,14100,2017,2,6,4,F,36733,150,134,55,1976,1558,198,175
19977,11292,14262,2017,2,6,2,F,34143,166,99,0,0,776,120,102
19977,11292,14524,2017,2,6,3,F,36072,150,128,0,0,1482,194,178
19977,11292,14570,2017,2,6,2,F,42690,166,105,0,0,804,128,113
19977,11292,14869,2017,2,6,1,F,35554,128,126,77,1604,391,85,69
19977,11292,15016,2017,2,6,2,F,41831,166,162,0,65,770,136,97
19977,11292,15016,2017,2,6,2,F,35832,128,119,0,97,770,115,95
19977,11292,15370,2017,2,6,2,F,41556,166,124,11,0,541,82,63
19977,12264,11292,2017,2,6,3,F,98334,242,173,306,361,1452,216,185
19977,12266,11292,2017,2,6,2,F,48320,169,161,0,1335,862,141,119
19977,12266,11292,2017,2,6,2,F,82502,214,207,0,707,862,137,110
19977,13198,11292,2017,2,6,2,F,43141,166,107,0,954,533,101,80
