"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
21.00,21.00,839000.00,3735.00,3102.00,623.00,0.00,948.00,3198.00,2731.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14831,1483104,32457,"SJC","San Jose, CA","CA","06","California",91,6,"634",1,2017,2,6,2,"F",
21.00,21.00,856207.00,3759.00,3465.00,235.00,25409.00,1506.00,4348.00,3860.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,15304,1530402,33195,"TPA","Tampa, FL","FL","12","Florida",33,6,"634",1,2017,2,6,4,"F",
21.00,20.00,706542.00,2560.00,2346.00,38.00,0.00,1015.00,3352.00,2877.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11986,1198603,31986,"GRR","Grand Rapids, MI","MI","26","Michigan",43,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"698",1,2017,2,6,3,"F",
21.00,21.00,737222.00,2688.00,2571.00,899.00,14408.00,533.00,2117.00,1720.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"698",1,2017,2,6,2,"F",
21.00,21.00,722018.00,2688.00,2463.00,179.00,0.00,819.00,2645.00,2249.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,13891,1389101,32575,"ONT","Ontario, CA","CA","06","California",91,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"698",1,2017,2,6,2,"F",
21.00,20.00,675319.00,2560.00,2399.00,2057.00,9608.00,1558.00,4983.00,4388.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,14100,1410002,34100,"PHL","Philadelphia, PA","PA","42","Pennsylvania",23,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"698",1,2017,2,6,4,"F",
21.00,21.00,720003.00,3150.00,2854.00,85.00,17626.00,1290.00,4244.00,3817.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,14122,1412202,30198,"PIT","Pittsburgh, PA","PA","42","Pennsylvania",23,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"694",1,2017,2,6,3,"F",
21.00,21.00,714355.00,3150.00,2937.00,1033.00,12299.00,770.00,2884.00,2409.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,15016,1501603,31123,"STL","St. Louis, MO","MO","29","Missouri",64,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"694",1,2017,2,6,2,"F",
21.00,21.00,830193.00,3486.00,3323.00,371.00,2418.00,1506.00,4615.00,4185.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,15304,1530402,33195,"TPA","Tampa, FL","FL","12","Florida",33,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"614",1,2017,2,6,4,"F",
21.00,21.00,726600.00,3003.00,2247.00,6073.00,0.00,1671.00,4452.00,4045.00,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,10529,1052904,30529,"BDL","Hartford, CT","CT","09","Connecticut",11,6,"612",1,2017,2,6,4,"F",
21.00,21.00,911400.00,3675.00,1683.00,6063.00,0.00,804.00,2693.00,2402.00,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14570,1457002,34570,"RNO","Reno, NV","NV","32","Nevada",85,6,"614",1,2017,2,6,2,"F",
21.00,21.00,911400.00,3675.00,2102.00,3689.00,0.00,1024.00,2969.00,2629.00,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14730,1473003,33044,"SDF","Louisville, KY","KY","21","Kentucky",52,6,"614",1,2017,2,6,3,"F",
21.00,21.00,911400.00,3675.00,3148.00,6210.00,0.00,391.00,1652.00,1286.00,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14869,1486903,34614,"SLC","Salt Lake City, UT","UT","49","Utah",87,6,"614",1,2017,2,6,1,"F",
21.00,21.00,400932.00,1469.00,1354.00,0.00,0.00,533.00,2035.00,1509.00,"YX",20452,"Republic Airlines","06003","D","YX","Republic Airlines",2,2,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,6,"677",1,2017,2,6,2,"F",
22.00,22.00,74800.00,0.00,0.00,35966.00,0.00,160.00,1532.00,1329.00,"EM",20263,"Empire Airlines Inc.","06299","D","EM","Empire Airlines Inc.",1,5,10140,1014003,30140,"ABQ","Albuquerque, NM","NM","35","New Mexico",86,11413,1141304,30285,"DRO","Durango, CO","CO","08","Colorado",82,4,"416",2,2017,2,6,1,"G",
22.00,22.00,74800.00,0.00,0.00,21747.00,0.00,40.00,471.00,344.00,"EM",20263,"Empire Airlines Inc.","06299","D","EM","Empire Airlines Inc.",1,5,11711,1171102,31711,"FMN","Farmington, NM","NM","35","New Mexico",86,11413,1141304,30285,"DRO","Durango, CO","CO","08","Colorado",82,4,"416",2,2017,2,6,1,"G",
22.00,21.00,369810.00,1470.00,1332.00,0.00,0.00,1069.00,3331.00,2688.00,"G7",20500,"GoJet Airlines LLC d/b/a United Express","07041","D","G7","GoJet Airlines LLC d/b/a United Express",2,2,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,11193,1119302,33105,"CVG","Cincinnati, OH","KY","21","Kentucky",52,6,"631",1,2017,2,6,3,"F",
22.00,22.00,387420.00,1540.00,1184.00,0.00,0.00,141.00,1249.00,690.00,"G7",20500,"GoJet Airlines LLC d/b/a United Express","07041","D","G7","GoJet Airlines LLC d/b/a United Express",2,2,12094,1209402,34699,"HDN","Hayden, CO","CO","08","Colorado",82,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"631",1,2017,2,6,1,"F",
22.00,22.00,387420.00,1540.00,1171.00,0.00,0.00,637.00,2598.00,2123.00,"G7",20500,"GoJet Airlines LLC d/b/a United Express","07041","D","G7","GoJet Airlines LLC d/b/a United Express",2,2,14783,1478302,34783,"SGF","Springfield, MO","MO","29","Missouri",64,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"631",1,2017,2,6,2,"F",
22.00,22.00,409800.00,1540.00,696.00,0.00,0.00,848.00,3192.00,2635.00,"OO",20304,"SkyWest Airlines Inc.","06700","D","OO","SkyWest Airlines Inc.",3,3,10372,1037203,30372,"ASE","Aspen, CO","CO","08","Colorado",82,14771,1477102,32457,"SFO","San Francisco, CA","CA","06","California",91,6,"631",1,2017,2,6,2,"F",
22.00,22.00,334400.00,1672.00,1581.00,0.00,0.00,775.00,3308.00,2713.00,"OO",20304,"SkyWest Airlines Inc.","06700","D","OO","SkyWest Airlines Inc.",3,3,10423,1042302,30423,"AUS","Austin, TX","TX","48","Texas",74,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"673",1,2017,2,6,2,"F",
22.00,22.00,297000.00,1100.00,779.00,0.00,0.00,638.00,2589.00,2110.00,"OO",20304,"SkyWest Airlines Inc.","06700","D","OO","SkyWest Airlines Inc.",3,3,11447,1144703,31447,"DVL","Devils Lake, ND","ND","38","North Dakota",66,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"629",1,2017,2,6,2,"F",
22.00,22.00,411040.00,1540.00,1379.00,0.00,0.00,771.00,2846.00,2376.00,"OO",20304,"SkyWest Airlines Inc.","06700","D","OO","SkyWest Airlines Inc.",3,3,12992,1299204,32600,"LIT","Little Rock, AR","AR","05","Arkansas",71,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"631",1,2017,2,6,2,"F",
22.00,22.00,334400.00,1672.00,1215.00,0.00,0.00,423.00,1882.00,1482.00,"OO",20304,"SkyWest Airlines Inc.","06700","D","OO","SkyWest Airlines Inc.",3,3,13029,1302902,33029,"LNK","Lincoln, NE","NE","31","Nebraska",65,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"673",1,2017,2,6,1,"F",
22.00,22.00,759201.00,2816.00,2543.00,118.00,22653.00,1671.00,4775.00,4283.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,10529,1052904,30529,"BDL","Hartford, CT","CT","09","Connecticut",11,6,"698",1,2017,2,6,4,"F",
22.00,22.00,793919.00,3300.00,3055.00,1536.00,11430.00,472.00,1738.00,1344.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,13871,1387102,33316,"OMA","Omaha, NE","NE","31","Nebraska",65,6,"694",1,2017,2,6,1,"F",
22.00,22.00,775888.00,2816.00,2489.00,262.00,0.00,1482.00,4319.00,3800.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14524,1452401,34524,"RIC","Richmond, VA","VA","51","Virginia",38,6,"698",1,2017,2,6,3,"F",
22.00,22.00,787877.00,2816.00,1559.00,70.00,0.00,916.00,3260.00,2774.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,6,"698",1,2017,2,6,2,"F",
22.00,22.00,2178105.00,7913.00,6174.00,17922.00,18900.00,967.00,3425.00,2775.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14771,1477102,32457,"SFO","San Francisco, CA","CA","06","California",91,6,"627",1,2017,2,6,2,"F",
22.00,22.00,772058.00,3300.00,3078.00,1186.00,0.00,1703.00,5580.00,4906.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11697,1169704,32467,"FLL","Fort Lauderdale, FL","FL","12","Florida",33,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"694",1,2017,2,6,4,"F",
22.00,21.00,711169.00,3150.00,2855.00,102.00,1749.00,680.00,2679.00,2083.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,13487,1348702,31650,"MSP","Minneapolis, MN","MN","27","Minnesota",63,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"694",1,2017,2,6,2,"F",
22.00,22.00,706175.00,2816.00,2673.00,738.00,845.00,1062.00,3810.00,3363.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,13495,1349503,33495,"MSY","New Orleans, LA","LA","22","Louisiana",72,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"698",1,2017,2,6,3,"F",
22.00,22.00,764309.00,3300.00,2966.00,171.00,20983.00,472.00,2148.00,1605.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,13871,1387102,33316,"OMA","Omaha, NE","NE","31","Nebraska",65,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"694",1,2017,2,6,1,"F",
22.00,22.00,784666.00,3300.00,2615.00,848.00,4261.00,991.00,3173.00,2747.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,14057,1405702,34057,"PDX","Portland, OR","OR","41","Oregon",92,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"694",1,2017,2,6,2,"F",
22.00,22.00,762468.00,2816.00,2661.00,116.00,0.00,1482.00,5111.00,4631.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,14524,1452401,34524,"RIC","Richmond, VA","VA","51","Virginia",38,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"698",1,2017,2,6,3,"F",
22.00,22.00,1005021.00,3938.00,3690.00,1894.00,13457.00,794.00,2840.00,2358.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,14683,1468303,33214,"SAT","San Antonio, TX","TX","48","Texas",74,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"634",1,2017,2,6,2,"F",
22.00,22.00,641670.00,2816.00,2037.00,31.00,0.00,916.00,2991.00,2517.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,14689,1468902,34689,"SBA","Santa Barbara, CA","CA","06","California",91,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"698",1,2017,2,6,2,"F",
22.00,22.00,761200.00,3146.00,2872.00,7027.00,0.00,1201.00,4005.00,3632.00,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,11042,1104203,30647,"CLE","Cleveland, OH","OH","39","Ohio",44,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,6,"612",1,2017,2,6,3,"F",
22.00,22.00,954800.00,3850.00,3714.00,21316.00,0.00,1154.00,3486.00,3055.00,"WN",19393,"Southwest Airlines Co.","06725","D","WN","Southwest Airlines Co.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,11066,1106603,31066,"CMH","Columbus, OH","OH","39","Ohio",44,6,"614",1,2017,2,6,3,"F",
